data_set,family,image_biomarker,consensus,benchmark_value,tolerance,your_result,difference,check,tag
configuration A,"Run length matrix (2D, slice-merged)",Low grey level run emphasis,3-5,0.0264,0.0003,,,,rlm_lgre_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",High grey level run emphasis,3-5,428,3,,,,rlm_hgre_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Short run low grey level emphasis,3-5,0.0243,0.0003,,,,rlm_srlge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Short run high grey level emphasis,3-5,320,1,,,,rlm_srhge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Long run low grey level emphasis,3-5,0.0385,0.0003,,,,rlm_lrlge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Long run high grey level emphasis,3-5,1400,20,,,,rlm_lrhge_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Grey level non-uniformity,3-5,1730,10,,,,rlm_glnu_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Grey level non-uniformity normalised,6-9,0.128,0.003,,,,rlm_glnu_norm_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run length non-uniformity,3-5,6600,30,,,,rlm_rlnu_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run length non-uniformity normalised,3-5,0.579,0.003,,,,rlm_rlnu_norm_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run percentage,3-5,0.704,0.002,,,,rlm_r_perc_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Grey level variance,3-5,33.7,0.6,,,,rlm_gl_var_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run length variance,3-5,0.826,0.008,,,,rlm_rl_var_2D_comb
configuration A,"Run length matrix (2D, slice-merged)",Run entropy,3-5,4.76,0.02,,,,rlm_rl_entr_2D_comb
configuration A,"Run length matrix (2.5D, direction-merged)",Short runs emphasis,< 3,,,,,,rlm_sre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Long runs emphasis,< 3,,,,,,rlm_lre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Low grey level run emphasis,< 3,,,,,,rlm_lgre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",High grey level run emphasis,< 3,,,,,,rlm_hgre_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Short run low grey level emphasis,< 3,,,,,,rlm_srlge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Short run high grey level emphasis,< 3,,,,,,rlm_srhge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Long run low grey level emphasis,< 3,,,,,,rlm_lrlge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Long run high grey level emphasis,< 3,,,,,,rlm_lrhge_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Grey level non-uniformity,< 3,,,,,,rlm_glnu_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Grey level non-uniformity normalised,< 3,,,,,,rlm_glnu_norm_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run length non-uniformity,< 3,,,,,,rlm_rlnu_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run length non-uniformity normalised,< 3,,,,,,rlm_rlnu_norm_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run percentage,< 3,,,,,,rlm_r_perc_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Grey level variance,< 3,,,,,,rlm_gl_var_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run length variance,< 3,,,,,,rlm_rl_var_2_5D_avg
configuration A,"Run length matrix (2.5D, direction-merged)",Run entropy,< 3,,,,,,rlm_rl_entr_2_5D_avg
configuration A,"Run length matrix (2.5D, merged)",Short runs emphasis,< 3,,,,,,rlm_sre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Long runs emphasis,< 3,,,,,,rlm_lre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Low grey level run emphasis,< 3,,,,,,rlm_lgre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",High grey level run emphasis,< 3,,,,,,rlm_hgre_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Short run low grey level emphasis,< 3,,,,,,rlm_srlge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Short run high grey level emphasis,< 3,,,,,,rlm_srhge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Long run low grey level emphasis,< 3,,,,,,rlm_lrlge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Long run high grey level emphasis,< 3,,,,,,rlm_lrhge_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Grey level non-uniformity,< 3,,,,,,rlm_glnu_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Grey level non-uniformity normalised,< 3,,,,,,rlm_glnu_norm_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run length non-uniformity,< 3,,,,,,rlm_rlnu_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run length non-uniformity normalised,< 3,,,,,,rlm_rlnu_norm_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run percentage,< 3,,,,,,rlm_r_perc_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Grey level variance,< 3,,,,,,rlm_gl_var_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run length variance,< 3,,,,,,rlm_rl_var_2_5D_comb
configuration A,"Run length matrix (2.5D, merged)",Run entropy,< 3,,,,,,rlm_rl_entr_2_5D_comb
configuration A,Size zone matrix (2D),Small zone emphasis,6-9,0.688,0.003,,,,szm_sze_2D
configuration A,Size zone matrix (2D),Large zone emphasis,3-5,625,9,,,,szm_lze_2D
configuration A,Size zone matrix (2D),Low grey level emphasis,3-5,0.0368,0.0005,,,,szm_lgze_2D
configuration A,Size zone matrix (2D),High grey level emphasis,6-9,363,3,,,,szm_hgze_2D
configuration A,Size zone matrix (2D),Small zone low grey level emphasis,6-9,0.0298,0.0005,,,,szm_szlge_2D
configuration A,Size zone matrix (2D),Small zone high grey level emphasis,6-9,226,1,,,,szm_szhge_2D
configuration A,Size zone matrix (2D),Large zone low grey level emphasis,3-5,1.35,0.03,,,,szm_lzlge_2D
configuration A,Size zone matrix (2D),Large zone high grey level emphasis,3-5,316000,5000,,,,szm_lzhge_2D
configuration A,Size zone matrix (2D),Grey level non-uniformity,3-5,82.2,0.1,,,,szm_glnu_2D
configuration A,Size zone matrix (2D),Grey level non uniformity normalised,6-9,0.0728,0.0014,,,,szm_glnu_norm_2D
configuration A,Size zone matrix (2D),Zone size non-uniformity,6-9,479,4,,,,szm_zsnu_2D
configuration A,Size zone matrix (2D),Zone size non-uniformity normalised,6-9,0.44,0.004,,,,szm_zsnu_norm_2D
configuration A,Size zone matrix (2D),Zone percentage,6-9,0.3,0.003,,,,szm_z_perc_2D
configuration A,Size zone matrix (2D),Grey level variance,6-9,42.7,0.7,,,,szm_gl_var_2D
configuration A,Size zone matrix (2D),Zone size variance,3-5,609,9,,,,szm_zs_var_2D
configuration A,Size zone matrix (2D),Zone size entropy,6-9,5.92,0.02,,,,szm_zs_entr_2D
configuration A,Size zone matrix (2.5D),Small zone emphasis,< 3,,,,,,szm_sze_2_5D
configuration A,Size zone matrix (2.5D),Large zone emphasis,< 3,,,,,,szm_lze_2_5D
configuration A,Size zone matrix (2.5D),Low grey level emphasis,< 3,,,,,,szm_lgze_2_5D
configuration A,Size zone matrix (2.5D),High grey level emphasis,< 3,,,,,,szm_hgze_2_5D
configuration A,Size zone matrix (2.5D),Small zone low grey level emphasis,< 3,,,,,,szm_szlge_2_5D
configuration A,Size zone matrix (2.5D),Small zone high grey level emphasis,< 3,,,,,,szm_szhge_2_5D
configuration A,Size zone matrix (2.5D),Large zone low grey level emphasis,< 3,,,,,,szm_lzlge_2_5D
configuration A,Size zone matrix (2.5D),Large zone high grey level emphasis,< 3,,,,,,szm_lzhge_2_5D
configuration A,Size zone matrix (2.5D),Grey level non-uniformity,< 3,,,,,,szm_glnu_2_5D
configuration A,Size zone matrix (2.5D),Grey level non uniformity normalised,< 3,,,,,,szm_glnu_norm_2_5D
configuration A,Size zone matrix (2.5D),Zone size non-uniformity,< 3,,,,,,szm_zsnu_2_5D
configuration A,Size zone matrix (2.5D),Zone size non-uniformity normalised,< 3,,,,,,szm_zsnu_norm_2_5D
configuration A,Size zone matrix (2.5D),Zone percentage,< 3,,,,,,szm_z_perc_2_5D
configuration A,Size zone matrix (2.5D),Grey level variance,< 3,,,,,,szm_gl_var_2_5D
configuration A,Size zone matrix (2.5D),Zone size variance,< 3,,,,,,szm_zs_var_2_5D
configuration A,Size zone matrix (2.5D),Zone size entropy,< 3,,,,,,szm_zs_entr_2_5D
configuration A,Distance zone matrix (2D),Small distance emphasis,3-5,0.191,0.006,,,,dzm_sde_2D
configuration A,Distance zone matrix (2D),Large distance emphasis,3-5,162,1,,,,dzm_lde_2D
configuration A,Distance zone matrix (2D),Low grey level emphasis,3-5,0.0376,0.0005,,,,dzm_lgze_2D
configuration A,Distance zone matrix (2D),High grey level emphasis,3-5,362,3,,,,dzm_hgze_2D
configuration A,Distance zone matrix (2D),Small distance low grey level emphasis,3-5,0.00942,0.00023,,,,dzm_sdlge_2D
configuration A,Distance zone matrix (2D),Small distance high grey level emphasis,3-5,60.1,3.3,,,,dzm_sdhge_2D
configuration A,Distance zone matrix (2D),Large distance low grey level emphasis,3-5,2.97,0.02,,,,dzm_ldlge_2D
configuration A,Distance zone matrix (2D),Large distance high grey level emphasis,3-5,70500,100,,,,dzm_ldhge_2D
configuration A,Distance zone matrix (2D),Grey level non-uniformity,3-5,82.6,0.1,,,,dzm_glnu_2D
configuration A,Distance zone matrix (2D),Grey level non-uniformity normalised,3-5,0.0728,0.0014,,,,dzm_glnu_norm_2D
configuration A,Distance zone matrix (2D),Zone distance non-uniformity,3-5,63.5,0.4,,,,dzm_zdnu_2D
configuration A,Distance zone matrix (2D),Zone distance non-uniformity normalised,3-5,0.0716,0.0023,,,,dzm_zdnu_norm_2D
configuration A,Distance zone matrix (2D),Zone percentage,3-5,0.299,0.003,,,,dzm_z_perc_2D
configuration A,Distance zone matrix (2D),Grey level variance,3-5,42.6,0.7,,,,dzm_gl_var_2D
configuration A,Distance zone matrix (2D),Zone distance variance,3-5,69.7,0.1,,,,dzm_zd_var_2D
configuration A,Distance zone matrix (2D),Zone distance entropy,3-5,8,0.04,,,,dzm_zd_entr_2D
configuration A,Distance zone matrix (2.5D),Small distance emphasis,< 3,,,,,,dzm_sde_2_5D
configuration A,Distance zone matrix (2.5D),Large distance emphasis,< 3,,,,,,dzm_lde_2_5D
configuration A,Distance zone matrix (2.5D),Low grey level emphasis,< 3,,,,,,dzm_lgze_2_5D
configuration A,Distance zone matrix (2.5D),High grey level emphasis,< 3,,,,,,dzm_hgze_2_5D
configuration A,Distance zone matrix (2.5D),Small distance low grey level emphasis,< 3,,,,,,dzm_sdlge_2_5D
configuration A,Distance zone matrix (2.5D),Small distance high grey level emphasis,< 3,,,,,,dzm_sdhge_2_5D
configuration A,Distance zone matrix (2.5D),Large distance low grey level emphasis,< 3,,,,,,dzm_ldlge_2_5D
configuration A,Distance zone matrix (2.5D),Large distance high grey level emphasis,< 3,,,,,,dzm_ldhge_2_5D
configuration A,Distance zone matrix (2.5D),Grey level non-uniformity,< 3,,,,,,dzm_glnu_2_5D
configuration A,Distance zone matrix (2.5D),Grey level non-uniformity normalised,< 3,,,,,,dzm_glnu_norm_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance non-uniformity,< 3,,,,,,dzm_zdnu_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance non-uniformity normalised,< 3,,,,,,dzm_zdnu_norm_2_5D
configuration A,Distance zone matrix (2.5D),Zone percentage,< 3,,,,,,dzm_z_perc_2_5D
configuration A,Distance zone matrix (2.5D),Grey level variance,< 3,,,,,,dzm_gl_var_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance variance,< 3,,,,,,dzm_zd_var_2_5D
configuration A,Distance zone matrix (2.5D),Zone distance entropy,< 3,,,,,,dzm_zd_entr_2_5D
configuration A,Neighbourhood grey tone difference matrix (2D),Coarseness,6-9,0.00629,0.00046,,,,ngt_coarseness_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Contrast,6-9,0.107,0.003,,,,ngt_contrast_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Busyness,3-5,0.489,0.001,,,,ngt_busyness_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Complexity,6-9,438,9,,,,ngt_complexity_2D
configuration A,Neighbourhood grey tone difference matrix (2D),Strength,3-5,3.33,0.08,,,,ngt_strength_2D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Coarseness,< 3,,,,,,ngt_coarseness_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Contrast,< 3,,,,,,ngt_contrast_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Busyness,< 3,,,,,,ngt_busyness_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Complexity,< 3,,,,,,ngt_complexity_2_5D
configuration A,Neighbourhood grey tone difference matrix (2.5D),Strength,< 3,,,,,,ngt_strength_2_5D
configuration A,Neighbouring grey level dependence matrix (2D),Low dependence emphasis,3-5,0.281,0.003,,,,ngl_lde_2D
configuration A,Neighbouring grey level dependence matrix (2D),High dependence emphasis,3-5,14.8,0.1,,,,ngl_hde_2D
configuration A,Neighbouring grey level dependence matrix (2D),Low grey level count emphasis,3-5,0.0233,0.0003,,,,ngl_lgce_2D
configuration A,Neighbouring grey level dependence matrix (2D),High grey level count emphasis,3-5,446,2,,,,ngl_hgce_2D
configuration A,Neighbouring grey level dependence matrix (2D),Low dependence low grey level emphasis,3-5,0.0137,0.0002,,,,ngl_ldlge_2D
configuration A,Neighbouring grey level dependence matrix (2D),Low dependence high grey level emphasis,3-5,94.2,0.4,,,,ngl_ldhge_2D
configuration A,Neighbouring grey level dependence matrix (2D),High dependence low grey level emphasis,3-5,0.116,0.001,,,,ngl_hdlge_2D
configuration A,Neighbouring grey level dependence matrix (2D),High dependence high grey level emphasis,3-5,7540,50,,,,ngl_hdhge_2D
configuration A,Neighbouring grey level dependence matrix (2D),Grey level non-uniformity,3-5,757,1,,,,ngl_glnu_2D
configuration A,Neighbouring grey level dependence matrix (2D),Grey level non-uniformity normalised,3-5,0.151,0.003,,,,ngl_glnu_norm_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count non-uniformity,3-5,709,2,,,,ngl_dcnu_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count non-uniformity normalised,3-5,0.175,0.001,,,,ngl_dcnu_norm_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count percentage,3-5,1,0,,,,ngl_dc_perc_2D
configuration A,Neighbouring grey level dependence matrix (2D),Grey level variance,3-5,31.1,0.5,,,,ngl_gl_var_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count variance,3-5,3.12,0.02,,,,ngl_dc_var_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count entropy,3-5,5.76,0.02,,,,ngl_dc_entr_2D
configuration A,Neighbouring grey level dependence matrix (2D),Dependence count energy,3-5,0.0268,0.0004,,,,ngl_dc_energy_2D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low dependence emphasis,< 3,,,,,,ngl_lde_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High dependence emphasis,< 3,,,,,,ngl_hde_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low grey level count emphasis,< 3,,,,,,ngl_lgce_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High grey level count emphasis,< 3,,,,,,ngl_hgce_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low dependence low grey level emphasis,< 3,,,,,,ngl_ldlge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Low dependence high grey level emphasis,< 3,,,,,,ngl_ldhge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High dependence low grey level emphasis,< 3,,,,,,ngl_hdlge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),High dependence high grey level emphasis,< 3,,,,,,ngl_hdhge_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Grey level non-uniformity,< 3,,,,,,ngl_glnu_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Grey level non-uniformity normalised,< 3,,,,,,ngl_glnu_norm_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count non-uniformity,< 3,,,,,,ngl_dcnu_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count non-uniformity normalised,< 3,,,,,,ngl_dcnu_norm_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count percentage,< 3,,,,,,ngl_dc_perc_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Grey level variance,< 3,,,,,,ngl_gl_var_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count variance,< 3,,,,,,ngl_dc_var_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count entropy,< 3,,,,,,ngl_dc_entr_2_5D
configuration A,Neighbouring grey level dependence matrix (2.5D),Dependence count energy,< 3,,,,,,ngl_dc_energy_2_5D
